,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,,,,,,,,Overall,Overall,,,
1,,,,,,,,,,,,STFC,
2,,,,,,,,,difference,difference,% to STFC,,
3,,,STFC 2010,STFC 2010,,STFC 2015,STFC 2015,,,,,2015/STFC,pa
4,,,,,,,,,vs STFC,vs STFC,2010,,
5,,,,,,,,,,,,2010 (%),
6,,,,,,,,,2010,,,,
7,,unit,Mean,+,SD,Mean,+,SD,,,,,
8,Niacinb,mgNE,25.8,+,10.4,29.6,+,11.8,3.8,3.8,14.7,114.7,**
9,Biotin,ug,22.0,,18.3,36.0,+,21.7,14.0,14.0,63.6,163.6,**
10,Manganese,mg,3.31,+,1.77,3.34,+,1.78,0.03,0.03,0.9,100.9,**
11,Iodine,ug,1000,,4738,1084,+,4321,,84,8.4,108.4,**
12,Selenium,ug,39.7,+,29.4,66.1,+,36.8,26.3,26.3,66.5,166.5,**
13,Chromium,ug,5.43,+,3.25,6.70,+,3.65,1.27,1.27,23.4,123.4,**
14,Molybdenum,ug,163,+,85,175,+,88,,12,7.4,107.4,**
