,0
0,Prioritization of foods and nutrients for inclusion into FCT
1,Sampling of foods for analysis
2,Literature sources of food composition
3,Choice of analytical methods
4,Review of methods of analysis of proximate constituents and micro nutrients
5,Principles of compiling and updating
6,Laboratory data quality and ASEAN activities for ensuring data quality
7,Consequences of errors in FCT for research applications
8,Component identification
9,Value documentation
10,Evaluation of data quality
11,Guidelines for data checking prior to release of food composition table
12,Quality assessment exercises
13,Consequences of errors in FCT for research applications
