,0,1,2,3,4
0,Year of edition,Authors,Title,Editorial,Reference
1,1932,Torres SalasI,Contribution to the study,Santander:Ed.Talleres,Torres-Salas(1932
2,,,of the chemical,Resura. Thesis. Universidad,
3,,,composition of Spanish,"Central(Madrid),Facultad",
4,,,foods [doctoral thesis],de Farmacia,
5,1932,Vazquez Sanchez J,On the chemical,Madrid:Gaceta Medica,Vazquez-Sanchez
6,,,composition of Spanish,Espanola. Thesis.,(1932)7
7,,,foods [doctoral thesis],Universidad Central,
8,,,,"(Madrid),Facultad de",
9,,,,Farmacia,
10,1946,Comenge M,Biochemical principles of,Madrid:A.G.I.,Comenge (1946)10
11,,,normal dietetics and,,
12,,,composition tables of,,
13,,,Spanish foods,,
14,1951,Alonso Samaniego,Dietary factors and food,Madrid:Alter Departamento,Alonso Samaniego
15,,JM,composition tables,de Investigacion,195111
16,1978,"Casares Lopez R,",Treatise on Bromatology,Madrid:Publicaciones del,Casares Lopez et al
17,,"Garcia Olmedo R,",(5th edition),Departamento de,(197812
18,,Valls Palles C,,"Bromatologia, Tecnologia y",
19,,,,Analisis Quimico Aplicado,
20,,,,Facultad de Farmacia,
21,,,,Universidad Complutense,
22,,,,Contains food composition,
23,,,,tables prepared from data,
24,,,,"of the FAO,School of",
25,,,,Bromatology and Armed,
26,,,,Forces.First edition in 1942,
27,1980,Andujar Arias MM,Food composition tables,Madrid: Instituto de,Andujar Arias et al.
28,,"Moreiras Varela O,",,Nutricion (CSIC),(1980)13
29,,Gil Extremera F,,,
30,1985,"Marcos A,",Spanish cheeses (tables,Cordoba: Departamento de,Marcos et al.198514
31,,Fernandez Salguero,"on composition,","Tecnologia de los Alimentos,",
32,,"J,Esteban A,Leon",nutritional value and,Universidad de Cordoba,
33,,"FAlcala M,Beltran",stability),,
34,,de Heredia FH.,,,
35,1985,Vivanco F.Palacios,Spanish food,Madrid:Direccion General,Vivanco y Palacios
36,,JM,composition table,de Salud Publica.Ministerio,(198515
37,,,,de Sanidad y Consumo,
38,1986,Casamitjana N,Food composition table,Barcelona:Fundacio Sarda,Casamitjana (1986)16
39,,,for clinical use,Farriol,
40,1988,"Jimenez Cruz A,",Food composition table,Barcelona:Wander SAE.The,Jimenez Cruz y
41,,Cervera Ral P,,successive published,Cervera Ral (1988)17
42,,,,editions have been,
43,,,,"sponsored by Wander, then",
44,,,,Sandoz and finally Novartis,
45,1992,"Moreiras Varela O,",Food composition tables,Madrid:Eudema S.A.An,Moreiras Varela et al.
46,,Carbajal ACabrera,,updated and expanded,(1992)18
47,,L,,edition with the same title,
48,,,,has been published by,
49,,,,Ediciones Piramide S.A in,
50,,,,1995.,
