,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Food group,,Food,FAFRE!,FAFRE!,FAESS2),FAESS2),FASAT3),FASAT3),FAMS4),FAMS4),FAPU5),,CHOLE6),CHOLE6)
1,Food group,,items,n,%7,n,%,n,%,n,%,n,%,n,%
2,1.CEREALS,,296,169,57.1,125,42.2,169,57.1,169,57.1,169,57.1,170,57.4
3,2.POTATOES AND STARCHES,2.POTATOES AND STARCHES,69,44,63.8,40,58.0,44,63.8,44,63.8,44,63.8,50,72.5
4,3.SUGARS AND SWEETENERS,3.SUGARS AND SWEETENERS,50,27,54.0,15,30.0,27,54.0,27,54.0,27,54.0,36,72.0
5,4.PULSES,,64,37,57.8,31,48.4,37,57.8,37,57.8,37,57.8,38,59.4
6,5.NUTS AND SEEDS,5.NUTS AND SEEDS,86,45,52.3,23,26.7,45,52.3,45,52.3,45,52.3,45,52.3
7,6.VEGETABLES,,619,354,57.2,323,52.2,354,57.2,354,57.2,354,57.2,364,58.8
8,7.MUSHROOMS,7.MUSHROOMS,71,30,42.3,29,40.8,30,42.3,30,42.3,30,42.3,30,42.3
9,8.FRUITS,,243,154,63.4,108,44.4,150,61.7,150,61.7,150,61.7,165,67.9
10,9.MEATS,,292,199,68.2,107,36.6,199,68.2,199,68.2,199,68.2,199,68.2
11,10.EGGS,,22,8,36.4,5,22.7,8,36.4,8,36.4,8,36.4,8,36.4
12,11.FISHES,,674,116,17.2,28,4.2,117,17.4,117,17.4,117,17.4,117,17.4
13,12.SEAWEEDS,,57,6,10.5,5,8.8,,10.5,6,10.5,6,10.5,6,10.5
14,13.MILKS AND MILK PRODUCTS,13.MILKS AND MILK PRODUCTS,55,51,92.7,29,52.7,51,92.7,50,90.9,50,90.9,53,96.4
15,14.OILS AND FATS,14.OILS AND FATS,34,28,82.4,9,26.5,28,82.4,28,82.4,28,82.4,27,79.4
16,15.TEAS,,54,21,38.9,17,31.5,21,38.9,21,38.9,21,38.9,22,40.7
17,16.BEVERAGES,,25,22,88.0,14,56.0,22,88.0,21,84.0,21,84.0,22,88.0
18,17.ALCOHOLS,,25,12,48.0,8,32.0,12,48.0,11,44.0,11,44.0,17,68.0
19,18.SEASONINGS,18.SEASONINGS,104,63,60.6,34,32.7,63,60.6,61,58.7,61,58.7,62,59.6
20,19.PREPAREDFOODS,19.PREPAREDFOODS,130,28,21.5,16,12.3,28,21.5,28,21.5,28,21.5,28,21.5
21,20.OTHERS,,30,12,40.0,6,20.0,12,40.0,12,40.0,12,40.0,12,40.0
22,,Total,"3,000","1,426",47.5,972,32.4,"1,423",47.4,"1,418",47.3,"1,418",47.3,"1,471",49.0
