,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,,,,,,,,,,12-2a,,,2.44,1.03,0.12,0.01,0.10,
1,9-74b,14.2,4.29,1.62,2.26,0.40,0.01,0.39,,12-3a,0.1,0.05,0.02,0.00,0.03,0.01,0.03,AAUUUUA
2,9-76,3.4,2.61,1.10,1.15,0.36,0.01,2.07,,12-4a,0.1,0.07,0.02,0.00,0.04,0.00,0.04,AAUUUUA
3,9-77d,81.2,75.61,29.74,37.09,8.78,0.53,8.25,A,12-5,0.1,0.07,0.02,0.00,0.04,0.00,0.04,AAUUUUA
4,9-85b,14.6,13.55,5.52,6.70,1.33,0.11,1.22,A,12-9a,0.1,0.04,0.01,0.01,0.02,0.00,0.02,A
5,9-86a,16.5,14.31,5.93,6.75,1.63,0.16,1.47,,12-14a,0.1,0.07,0.03,0.02,0.03,0.00,0.03,A
6,9-86d,18.2,15.79,6.55,7.45,1.80,0.17,1.62,A,12-15c,0.2,0.14,0.02,0.01,0.10,0.08,0.02,
7,9-86e,4.5,3.90,1.62,1.84,0.44,0.04,0.40,,12-16a,0.1,0.07,0.01,0.01,0.05,0.04,0.01,
8,9-86g,4.2,3.56,1.51,1.72,0.41,0.04,0.37,,12-16d,0.2,0.07,0.02,0.01,0.10,0.04,0.01,
9,9-87a,22.7,20.96,8.08,10.05,2.83,0.15,2.69,,12-19a,0.1,0.07,0.00,0.05,0.02,0.01,0.01,
10,9-87c,23.0,21.24,8.18,10.18,2.87,0.15,2.72,A,12-20a,0.1,0.07,0.02,0.01,0.05,0.04,0.01,
11,9-87f,19.8,18.28,8.18,8.77,2.47,0.15,2.34,A,12-23,0.2,0.10,0.00,0.00,0.10,0.00,0.10,
12,9-87g,19.8,18.28,7.05,8.77,2.47,0.13,2.34,,12-25b,0.2,0.04,0.00,0.00,0.10,0.01,0.01,
13,9-87h,22.7,30.93,11.92,10.05,2.83,0.15,2.69,,12-26a,0.1,0.02,0.01,0.00,0.01,0.01,0.00,A
14,9-90a,7.0,5.67,1.72,2.87,1.08,0.14,0.94,,12-27c,0.1,0.05,0.01,0.00,0.04,0.03,0.01,B
15,9-91a,9.5,7.70,2.33,3.90,1.46,0.18,1.28,,12-34a,0.1,0.08,0.02,0.02,0.04,0.00,0.04,
16,9-91a,18.0,13.85,6.92,6.11,0.82,0.17,0.65,,12-34a,0.1,0.05,0.01,0.00,0.06,0.01,0.04,
17,9-93b,14.4,10.74,5.13,4.94,0.68,0.17,0.51,,12-41a,0.1,0.07,0.03,0.02,0.02,0.00,0.02,
18,10-1,15.2,12.35,4.06,7.20,1.08,0.11,0.97,,12-42a,0.1,0.02,0.01,0.00,0.01,0.01,0.00,
19,10-2,13.2,10.30,3.91,4.77,1.61,0.33,1.29,,12-43,0.1,0.02,0.01,0.00,0.01,0.01,0.00,
20,10-4,13.2,10.30,3.91,4.77,1.61,0.33,1.29,,12-43,0.4,0.02,0.01,0.02,0.12,0.01,0.11,B
21,10-6,8.8,7.16,2.46,3.44,1.26,0.16,1.10,,12-49a,0.1,0.05,0.02,0.00,0.03,0.00,0.03,B
22,10-7,41.7,7.32,2.52,16.28,5.97,0.75,5.22,A,12-52a,0.6,0.39,0.01,0.01,0.27,0.15,0.12,
23,10-10,23.9,19.43,6.69,9.33,3.42,0.43,2.99,A,12-54,0.1,0.04,0.01,0.00,0.03,0.02,0.01,A
24,10-11,61.8,50.27,1.23,1.72,8.85,1.11,0.55,,12-56c,0.1,0.03,0.01,0.00,0.02,0.01,0.00,A
25,10-14,9.0,3.58,1.23,3.51,1.29,0.16,1.13,,12-57,0.5,0.15,0.05,0.01,0.09,0.07,0.02,A
26,10-16,3.3,9.11,2.24,0.94,0.11,0.01,0.10,A,12-59,0.2,0.06,0.02,0.01,0.04,0.03,0.01,A
27,11-3c,1.5,1.35,0.91,0.40,0.04,0.01,0.04,,12-61,0.1,0.03,0.01,0.00,0.02,0.01,0.00,A
28,11-5a,0.7,0.69,0.47,0.20,0.02,0.00,0.00,,12-64a,0.1,0.05,0.01,0.00,0.04,0.03,0.01,
29,11-6b,20.0,18.43,12.82,5.09,0.52,0.06,0.46,A,12-64b,0.2,0.05,0.01,0.00,0.04,0.06,0.01,B
30,11-7a,45.0,18.43,12.82,5.09,0.52,0.12,0.46,,12-66,0.2,0.10,0.02,0.00,0.08,0.06,0.02,B
31,11-7b,20.0,18.43,12.82,7.64,0.52,0.06,0.46,,12-67a,0.1,0.07,0.02,0.00,0.04,0.01,0.04,
32,11-8,30.0,0.36,19.23,7.64,0.01,0.00,0.01,,12-67b,0.1,0.07,0.02,0.00,0.04,0.01,0.04,
33,11-9c,0.1,0.04,0.03,0.01,0.00,0.00,0.00,,12-69,4.1,2.76,0.83,0.10,1.83,0.27,1.56,
34,11-12,8.0,5.89,4.10,1.63,0.17,0.02,0.15,A,12-76,0.1,0.06,0.02,0.00,0.04,0.03,0.01,
35,11-13a,6.0,5.52,1.28,0.51,0.05,0.01,0.05,,12-79,0.1,0.10,0.00,0.00,0.00,0.00,0.00,
36,11-13b,2.0,1.84,1.28,0.51,0.05,0.01,0.05,,12-79,0.1,0.10,0.00,0.00,0.00,0.00,0.00,
