,0,1,2,3,4,5,6,7,8
0,Food,Total,Total,SFA MUFA,SFA MUFA,,PUFA,,Metho
1,code,fat,fatty,,,Total,n-3,n-6,of
2,,,acid,,,,,,substi
3,,,,,,,,,tutior
4,l-la,2.7,2.33,0.62,0.82,0.89,0.03,1.18,B
5,1-3,6.2,4.99,1.71,0.58,2.69,0.16,2.53,B
6,-Sa,2.8,2.25,0.77,0.26,1.22,0.18,1.14,c
7,l-6b,1.3,2.25,0.36,0.12,0.56,0.03,0.53,A
8,-6c,3.6,2.90,0.99,0.34,1.56,0.04,1.47,
9,l-8a,3.8,3.23,0.62,0.70,1.92,0.11,1.81,
10,1-10b,2.1,1.73,0.48,0.19,1.06,0.02,1.01,
11,l-11b,2.1,1.73,0.48,0.19,1.06,0.05,1.01,A
12,-12c,2.1,1.65,0.46,0.18,1.01,0.05,1.01,
13,-13b,,3.54,0.85,1.28,1.41,0.28,1.13,
14,l-14b,4.1,3.72,0.89,1.35,1.48,0.29,1.19,A
15,1-18,3.7,3.17,1.12,1.35,0.70,0.05,0.65,D
16,1-19,5.1,4.35,1.47,1.85,1.02,0.08,0.94,D
17,1-20,28.1,25.74,0.55,7.23,1.37,0.21,1.16,D
18,-25a,1.9,1.56,0.43,0.17,0.96,0.05,0.91,A
19,i-29a,2.0,1.64,0.46,0.18,1.01,0.05,0.96,A
20,1-30a,1.7,1.40,0.39,0.15,0.86,0.04,0.81,A
21,-30b,0.5,0.41,0.11,0.04,0.25,0.01,0.24,A
22,l-31d,1.5,1.24,0.34,0.14,0.76,0.04,0.73,A
23,1-32,17.7,16.49,7.81,6.47,2.22,0.10,2.12,
24,1-33b,3.0,2.48,0.67,0.27,1.53,0.08,1.45,A
25,-36a,2.7,2.22,0.62,0.24,1.36,0.07,1.29,B
26,-37,1.1,0.98,0.35,0.25,0.38,0.01,0.36,B
27,-39,2:8,4.99,1.19,1.37,1.99,0.63,4.81,
28,-41b,2:8,1.78,0.63,0.46,0.69,0.02,1.59,
29,-41f,1.3,1.16,0.41,0.30,0.45,0.02,0.43,A
30,-47,0.8,0.72,0.26,0.19,0.28,0.01,0.27,A
31,-49a,0.7,2.59,0.69,0.91,0.99,0.02,0.96,
32,-49b,2.0,1.78,0.69,0.63,0.99,0.04,0.96,
33,-49d,1.3,1.16,0.31,0.41,0.44,0.02,0.43,A
34,-53,0.7,0.63,0.22,0.16,0.24,0.01,0.23,A
35,-55,1.8,1.60,0.51,0.37,0.55,0.02,0.53,A
36,-56,1.1,0.98,0.35,0.25,0.38,0.02,0.36,A
37,-57,18.3,4.84,0.35,1.70,1.86,0.07,1.79,
38,-59b,1.6,1.41,0.31,0.57,0.53,0.03,0.49,
39,,,,,,,,,
40,-59d,2.7,2.20,0.49,0.90,0.82,0.05,0.77,A
41,-63,,3.82,0.76,1.46,1.61,0.05,1.56,
42,-66,1.7,1.33,0.21,0.41,0.71,0.01,0.87,K<UUUmUU
43,-69,4.8,4.08,0.78,1.08,2.43,0.16,2.29,K<UUUmUU
44,-70a,4.8,3.19,0.85,0.88,1.22,0.13,1.18,K<UUUmUU
45,-71a,4.7,3.19,0.85,1.12,2.38,0.04,1.18,K<UUUmUU
46,-71a,2.6,2.21,0.76,0.86,1.31,0.13,2.24,K<UUUmUU
47,-71b,2.6,2.21,0.42,0.48,1.31,0.07,1.24,K<UUUmUU
