,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,,,(%)ao LHL,,1,,2,I-,,[-,,71-,,,(%)ao Idl,,t-,6-,,I-,I-,,8-,
1,,,(%)ao LHL,,,1.8,1.12,0.9,1.88,,12,,,,(%)ao Idl,589,32,,,SS,,10,125,8178
2,,,spou (%)ao LdL,117,,,112,,544,2,,113,,,,648,254,1595,173,811,,10,1118,
3,,,spou (%)ao LdL,,,,,,1,1,,,n u,,%)ao,3,I-,0-,,,5,,,
4,,,spou (%)ao LdL,3777,191,427,148,,,,CiI,,n u,,TFT,174,,99,08,0.6,,2.4,115,258
5,,,,2280,113,425,,,,,,,,,,,321,86,,8.6,,0.1,110,328
6,,,(%)ao LdL,2,,1,-,,2,,4-,,,,%4o,,M,,,I-,,2,,901
7,,,(%)ao LdL,207,3,,,,,,9.1,35,,,TPT,,321,08,217,,,5,72,
8,,,,,,,3,f,,1-0,,,,,,,2.15,113,,111,,,,292
9,,,(%0,,21,21,,,,,,,,,(%)aoLHL,,,/,,,,1,,242
10,,,,16,,,,,3,,0-0,202,,,(%)aoLHL,,,1.,,,,,217,007
11,,,,ISI,0.9,,,,,6-1,0.0,,,,,0.0,217,,,42,77,2.0,2.20,
12,,,,ISI,,,,,,6-1,0.0,,,,,0.0,217,,,42,77,2.0,2.20,777
13,,,%ao,,11,11,,1,9-,,3,,,,(%)O LI,66,,,,,9-,2,,96
14,(8 1nf apnu,,,,,,,,2,2-0,,,8nuo,,(%)O LI,2112,183,,169,,111,135,,
15,,,neas.,,,6.9,,1.0,,,,14,,,,968,,,497,LET,272,,601,
16,,{np/8},,,,,,9.61,,0-0,,446,,App/8,,,,,,1.61,1.18,0.01,1-6,
17,dnoo8 pood,,,,,Meat,,,,Dsseesr,,,Pooo poop,,,,,Meat,88,,,,,
