,0,1,2
0,,Food groups,Number of foods
1,Cereals,,267
2,Potatoes and starches,Potatoes and starches,53
3,Sugars and sweeteners,Sugars and sweeteners,54
4,Pulses,,51
5,Nuts and seeds,Nuts and seeds,86
6,Vegetables,,459
7,Mushrooms,,60
8,Fruits,,201
9,Meats,,267
10,Eggs,,22
11,Fishes,,451
12,Shellfishes,,117
13,Fish others,,140
14,Seaweeds,,67
15,Milks and milk products,Milks and milk products,47
16,Oils and fats,,28
17,Teas,,47
18,Beverages,,19
19,Alcohols,,26
20,Seasonings,,77
21,Prepared foods,Prepared foods,182
22,Others,,36
23,,Total,"2,757"
