,0,1,2,3,4,5,6,7,8
0,,,,,,,,Forest,
1,,Food crop,,,,,,"resources,","resources,"
2,,"production,",,,Livestock,,,hunting,
3,,home,,Cash crop,production/Animal,production/Animal,,and,
4,Province,gardening,,production husbandry,production husbandry,,Fishing,gathering,gathering
5,Bas-Congo,,77,3,,4,1,,6
6,Bandundu,,35,12,,24,32,,22
7,Equateur,,84,1,,12,23,,9
8,Province,,,,,,,,
9,orientale,,54,5,,10,4,,4
10,Nord-Kivu,,56,11,,7,0,,3
11,Maniema,,68,9,,17,7,,5
12,Sud-Kivu,,55,4,,9,4,,5
13,Katanga,,86,1,,3,12,,8
14,Kasai Oriental,,90,2,,13,5,,9
15,Kasai Occidental,,69,6,,9,8,,14
16,Total,,69,5,,9,7,,7
