,0,1,2,3,4,5,6
0,,,Moist heat1,,,Dry heat2,
1,Component,Low fat fish3,Fat fish4,"Fish or shellfish,",Low fat fish3,Fat fish4,Fat fish4
2,,or shellfish,,cooked in recipe5,or shellfish,or shellfish,
3,Protein,1,1,1,1,,1
4,Fat4,1,1,1,1,,1
5,Carbohydratest,1,1,1,1,,1
6,Fiber6,1,1,1,1,,1
7,Protein6,1,1,1,1,,1
8,Calcium,1,1,1,1,,1
9,Iron,0.8,0.8,1,0.85,,0.85
10,Magnesium,0.85,0.85,1,0.9,,0.9
11,Phosphorus,0.85,0.85,1,0.9,,0.9
12,Potassium,0.75,0.75,1,0.85,,0.85
13,lodine?,0.9,0.9,1,1,,1
14,Sodium,0.85,0.85,1,0.85,,0.85
15,Zinc,1,1,1,1,,1
16,Copper,0.9,0.9,1,0.95,,0.95
17,Selenium?,0.9,0.9,1,1,,1
18,Retinol,0.9,0.7,0.9,0.9,,0.8
19,B-carotene,0.9,0.7,0.9,0.9,,0.8
20,Cholecalciferol,0.9,0.7,0.9,0.9,,0.8
21,a-tocopherol,1,0.7,1,1,,0.8
22,Thiamin,0.75,0.75,0.85,0.8,,0.85
23,Riboflavin,0.7,0.7,1,0.85,,0.9
24,Niacin,0.7,0.7,0.95,0.85,,0.9
25,Vitamin B6,0.7,0.7,0.85,0.9,,0.9
26,Folate,0.7,0.7,0.85,0.8,,0.85
27,Pantothenic acid,0.7,0.7,0.85,0.88,,0.88
28,Vitamin B12,0.8,0.8,0.9,0.9,,0.9
29,Vitamin C,0.8,0.8,0.85,0.8,,0.8
30,Amino acids8,1,1,1,1,,1
31,Fatty acids8,1,1,1,1,,1
32,Cholesterol,1,1,1,1,,1
