,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,,Uuunuuphpph hujhptu,,Zuqlgud,Ununshuqhgud,Tnthshuqhgud,Spuuu,Jun tuuntphu,2np,Ca,Fe,Mg,P,K,Na,Zn,Cu
1,Funtpu,Uuunuuphpph hujhptu,nun.(q),utn,utn,utp,uihp,(uq),uuugnpn,(uq),(uq),(uq),(uq),(uq),(uq),(uq),(uq)
2,,,,(q),(q),(q),(q),,(q),,,,,,,,
3,01 Zuguhuuhy l npuuhg uuupuuuqu& niuhuunutp -Cereals and their products,01 Zuguhuuhy l npuuhg uuupuuuqu& niuhuunutp -Cereals and their products,,,,,,,,,,,,,,,
4,"0101 Zuunhqutp, hug l wynip -Grains, bread and flour","0101 Zuunhqutp, hug l wynip -Grains, bread and flour",,,,,,,,,,,,,,,
5,0101001,"Zug, unwghu ntuuyh",4.3,0.9,1.0,1.0,0.4,0,1.8,37,1.0,21,124,128,465,0.6,0.12
6,0101002,"Zunlu&upup,uihud",3.6,0.7,1.0,1.0,,0,2.0,17,2.2,231,362,460,1,2.4,1.10
7,0101003,"Finnip,uhud",1.8,0.3,0.2,0.8,,0,1.3,34,3.6,140,285,336,11,2.4,0.33
8,0101004,"Finnip,Hthud",0.7,0.1,0.1,0.3,,0,0.5,13,1.4,55,113,133,4,0.9,0.06
9,0101005,fuuqhd,13.8,0.2,0.1,0.5,0.5,41,1.3,133,1.2,21,142,215,74,0.7,0.06
10,0101006,Luqw2,1.2,0.2,0.1,0.5,0.0,0,2.7,21,1.2,27,496,125,796,0.7,0.33
11,0101007,"Uulupnu/uuuqhnh, hihud",1.7,0.3,0.2,0.7,Tr,0,1.0,22,1.5,56,170,223,6,1.4,0.28
12,0101008,"Ulupnu/uiuqhnh, hihud",0.7,0.1,0.1,0.3,Tr,0,0.4,9,0.6,23,69,91,3,0.6,0.11
13,0101009,phihud,0.6,0.2,0.2,0.2,,0,0.6,24,1.1,25,115,115,5,1.1,0.22
14,0101010,tihud,0.2,0.1,0.1,0.1,0.0,0,0.2,8,0.4,9,42,42,2,0.4,0.08
15,0101011,ahihud,1.2,0.3,0.3,0.4,0.0,,0.6,53,1.2,35,130,150,2,1.7,0.20
16,0101012,,0.4,0.1,0.1,0.2,0.0,0,0.2,19,0.4,13,47,54,1,0.6,0.07
17,0101013,"Uhnlp,hihd",1.1,0.2,0.1,0.4,,0,0.8,17,1.2,47,136,186,1,1.1,0.19
18,0101014,pup&p quu unuyha nkuwlh,1.5,0.2,0.1,0.6,0.0,0,0.8,16,1.3,28,119,143,3,0.9,0.16
19,0101015,"pup&p quu unughi nkuulh,",1.4,0.2,0.1,0.6,0.0,,0.8,17,1.3,18,83,120,10,0.7,0.12
20,,"U.puw2 qnpdupuuh,nhnuluu",,,,,,,,,1.3,,,,,,
21,,"3nphuh uynip, uuhunul,",,,,,,,,,,,,,,,
22,0101016,"pup&p quu unuahu nkuulh,",1.3,0.2,0.1,0.6,0.0,0,0.8,18,1.4,17,83,118,11,0.7,0.12
23,,"qnpdupuun,nunulua",,,,,,,,,,,,,,,
24,,"3nphun wgnip, uuhuul,",,,,,,,,,,,,,,,
25,0101017,Uuy$u,1.1,0.2,0.1,0.5,0.0,0,0.5,18,1.1,16,86,122,10,0.7,0.11
26,,"qnpdupuun,nnruuluu",,,,,,,,,,,,,,,
27,0101018,"3nphu,hihud",2.0,0.3,0.2,0.9,,0,1.5,26,3.5,116,272,384,5,2.8,0.32
