,0,1,2,3,4,5,6,7,8,9,10
0,Uuunuuphpph hujhptu,,Uuunuuphpph hujhptu,,,niutih,Luunqtuhy,2nip,Uuhu,Uwnsth,Shprhu
1,Uuunuuphpphwuqihptuwuquuniup,huntpu,Uuunuuphpph hujhptu,Uuunuuphpphwuqihptuwuquuniup,,pudut-,wpdup,(q),lng,,(4)
2,,,,,,Yuu,(q4w42,(q),(q),(q),(4)
3,0102 uudpuun l unnnplp -Biscuits and cakes,0102 uudpuun l unnnplp -Biscuits and cakes,0102 uudpuun l unnnplp -Biscuits and cakes,,,,,,,,
4,,0102001,qupu,CakeGata,recipe cal.,1.00,(491) 2049,10.2,6.8,51.5,1.9
5,"Cake, Gata with Koritz",0102002,,"Cake, Gata with Koritz",recipe cal.,1.00,(402)1683,22.0,6.8,48.2,2.0
6,"Chocolate biscuits, cream filled, full coated",0102003,"Tnynun puluhp,ypuny","Chocolate biscuits, cream filled, full coated",UK6,1.00,(529)2214,0.9,6.4,61.3,(1.5)
7,,0102005,,Paklava,UK6,1.00,(381) 1596,27.9,5.3,44.7,1.5
8,Short sweet biscuit,0102005,,Short sweet biscuit,UK6,1.00,(491) 2060,2.6,6.2,66.9,(1.5
9,"Wafer biscuits, flavored /filled, chocolate,",0102006,"Yu$th,pnipuytnugyud/pgnuud,",full coated,UK6,1.00,(538) 2247,1.0,6.9,60.1,(1.1)
10, 0103 Thguuun l wJunpduphp uwluniukuunuup -Pizzas and savory snacks, 0103 Thguuun l wJunpduphp uwluniukuunuup -Pizzas and savory snacks, 0103 Thguuun l wJunpduphp uwluniukuunuup -Pizzas and savory snacks, 0103 Thguuun l wJunpduphp uwluniukuunuup -Pizzas and savory snacks,,,,,,,
11,,0103001,Unh&nnhquup,Salty sticks,US22,1.00,(402) 1693,6.1,12.0,65.5,3.0
12,"fuinp uhgujh huuup,ythqud",0103002,"fuinp uhgujh huuup,ythqud","Pizza base,raw",UK6,1.00,(296) 1250,30.0,7.8,54.3,(2.1)
13,"Pizza, cheese and tomato",0103003,,"Pizza, cheese and tomato",UK6,1.00,(2531065,43.5,12.4,32.9,(2.2)
14,02 Ouqwjnq hupniuu wpuuunuuunninutp/uujwpuuunninutp l npwughg uuinpuuuyud nunkuuutp -Starchy roots/tubers and their prodcuts,,,,,,,,,,
15,"New potatoes,raw",0200001,Hupnnunpyu,"New potatoes,raw","DK07,UK6",1.00,(72)305,80.8,1.8,15.0,1.2
16,"New potatoes, boiled",0200002,"Yupinnhi, unp,tthd","New potatoes, boiled",cal.from raw,1.00,(71) 299,81.2,1.7,14.7,1.1
17,"Old potatoes, raw",0200003,"Yhpinn$hi hhu,hthyud","Old potatoes, raw","UK6,DK07",0.83,(75)318,79.7,2.2,15.3,1.5
18,"Old potatoes,boiled",0200004,"Ypinnhi,hh,Hhd","Old potatoes,boiled",cal.from raw,1.00,(75) 316,79.9,2.1,15.3,1.4
19,"Old potatoes, chipped, fried in vegetable",0200005,"Hhpnnfhn, hhu, nuuhqud pniunluu","Old potatoes, chipped, fried in vegetable","UK6,US22",1.00,2411007,52.3,3.2,28.0,(2.2)
20,"Old potatoes, mashed with butter",0200006,"Yupnn$hi,hhu, qupuqnd npnpud","Old potatoes, mashed with butter",UK6,1.00,105441,77.6,1.8,14.2,(1.1)
21, 03 Fuuguplntu l npwughg uqwunpuuunywd nuntuunulp -Vegetables and their products,, 03 Fuuguplntu l npwughg uqwunpuuunywd nuntuunulp -Vegetables and their products, 03 Fuuguplntu l npwughg uqwunpuuunywd nuntuunulp -Vegetables and their products,,,,,,,
22,"Yunnup, hupu",0300001,"Yunnup, hupu","Cabbage, raw","DK,UK6,US22",0.84,(29) 120,91.2,1.3,4.3,2.4
23,,0300003,Hnptd,Cabbageboiled,cal. from raw,0.81,(29) 123,91.0,1.3,4.4,2.4
24,"4uqup,pupu",0300003,"4uqup,tihud","Carrots,raw","UK6,DK07",1.00,(37)154,89.2,0.8,6.1,2.8
25,,0300004,"4uqup,tihud","Carrots, boiled",cal. from raw,1.00,(40) 166,88.5,0.8,6.7,3.0
26,"Carrots, young, raw",0300005,,"Carrots, young, raw",UK6,0.87,(39) 164,88.8,0.7,6.7,(2.4)
27,,0300006,,"Cucumber,raw","DK 07,UK6,US22",0.96,1355,96.0,0.7,2.0,0.8
28,"Uupnil,pupu",0300007,"Uupnil,pupu","Eggplants, raw","DK07, US22, UK6",0.89,(22) 92,92.9,0.9,2.9,2.4
29,,0300008,"Uupnil,tihud","Eggplants, boiled",cal.fromraw,1.00,(28)116,91.2,1.2,3.6,3.0
30,"Ujuinnp, phpu",0300009,"Ujuinnp, phpu","Garlic, raw","DK07,US22,UK6",0.84,(146) 620,60.5,6.9,26.5,4.1
31,"Grape leaves, canned",0300010,"Jvunnnh ntpl, uuhudnjugwd","Grape leaves, canned",US22,1.00,82345,76.1,4.3,11.7,
32,"jounnnh nhpl, pupu",0300011,"jounnnh nhpl, pupu","Grape leaves,raw",UK6,0.95,(89)369,73.3,5.6,6.3,11.0
33,"Zuqhpuplpphy, pupu",0300012,"Zuqhpuplpphy, pupu","Lettuce, raw",UK6,0.74,1772,95.1,0.8,1.9,(0.9)
