,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Tinjhshuqlgu&,,,,Zuqligud,Ununshuqlgud,Tinjhshuqlgu&,Spuuu,,2nn,,,,,,,,
1,Uuunuuphpph hujhphu,huntpu,Uuunuuphpph hujhphu,,utp,,,utp,fungkuutphu,uuugnpn,Ca,Fe,Mg,P,K,Na,Zn,Cu
2,,huntpu,,punq),utp,utp,uup,utp,(uq),(q),(uq),(uq),(uq),(uq),(ug),(ug),(uq),(uq)
3,,,,,(q),(q),(q),(g),,(q),,,,,,,,
4,1002 Uuuupupp-Meat products,1002 Uuuupupp-Meat products,1002 Uuuupupp-Meat products,,,,,,,,,,,,,,,
5,,1002001,,9.4,4.4,4.0,0.3,0.3,30,1.5,44,1.1,17,204,252,300,1.6,0.23
6,,1002002,htplutpny,11.0,5.0,4.5,.0.6,0.4,34,2.7,94,1.7,16,220,135,1002,1.8,0.75
7,"Uppup2hq,nuquph U junqh",1002003,thu,26.5,10.0,12.6,2.9,0.1,63,3.2,12,1.1,11,143,169,1020,1.6,0.10
8,"Upplp2hy,fuu2ud",1002004,"Upplp2hy,fuu2ud",26.9,10.1,12.8,2.9,0.1,65,3.2,12,1.2,11,147,174,1052,1.7,0.10
9,"Upplp2hl,huqh uuhg,hniu",1002005,"Upplp2hl,huqh uuhg,hniu",16.2,3.9,5.9,3.9,,96,3.1,74,1.2,20,162,202,844,1.1,0.08
10,,1002006,"uuhg,huu2ud",16.3,3.9,6.0,3.9,,99,3.2,76,1.2,21,167,208,870,1.1,0.08
11,,1002007,Zuphuu,5.2,3.0,1.4,0.3,0.2,27,0.9,22,0.4,17,158,77,250,0.4,0.48
12,,1002008,,16.1,2.8,2.7,0.5,0.2,31,1.3,12,0.8,13,216,119,304,0.8,0.12
13,Yninqul (uunn hpquurl),1002009,Yninqul (uunn hpquurl),6.7,3.3,2.4,0.4,0.5,38,1.2,18,0.3,6,190, 93,335,0.3,0.27
14,,1002010,Uumutn,39.2,14.6,17.7,4.4,0.2,83,3.3,11,1.3,18,170,320,1800,3.0,0.12
15,"11 2niy, juugbunppup h npuughg uquunpuuunqu8 niutuunuup - Fish and shellfish and their products",,,,,,,,,,,,,,,,,
16,Uhnul&niy hniu,1100001,Uhnul&niy hniu,3.0,1.0,0.7,1.2,0.0,60,1.4,60,0.5,30,290,380,49,0.5,0.03
17,"Uuhnul &niy,$hil,",1100002,"Uuhnul &niy,$hil,",5.9,1.8,0.0,0.5,0.0,118,2.7,118,1.0,59,569,745,96,1.1,0.06
18,"Tupnn (uupnhuuanil),",,"Tupnn (uupnhuuanil),",,3.5,,,,,,,,,,,406,,
19,"unuuut unniuniu,",1100003,"unuuut unniuniu,",13.0,3.5,4.2,3.8,0.0,57,2.9,415,2.7,38,385,393,406,2.6,0.20
20,"Tupnn (uupnhuu&nil),",1100004,jninniu,12.8,2.6,4.3,5.0,0.1,52,3.6,460,2.2,43,485,382,390,2.2,0.12
21,12 Yup l npuuhg uuupuuuqu& niutuunutp -Milk and their products,12 Yup l npuuhg uuupuuuqu& niutuunutp -Milk and their products,,,,,,,,,,,,,,,,
22,1201 wp-Milk,1201 wp-Milk,1201 wp-Milk,,,,,,,,,,,,,,,
23,"Yhp, gudp jninujunipjuu,",1201001,puumtphqugaud,1.7,1.1,0.4,Tr,0.1,6,0.9,120,0.0,11,94,156,43,0.4,Tr
24,"1202 Uupnigp,u&niu,wuhp,u qpu2nn -Cream,curd,cheese,cottage cheese","1202 Uupnigp,u&niu,wuhp,u qpu2nn -Cream,curd,cheese,cottage cheese",,,,,,,,,,,,171,,,,
25,"Uupuu2nn,unynpuluu",1202001,"Uupuu2nn,unynpuluu",4.3,2.3,1.2,0.2,0.2,16,1.4,127,Tr,13,171,161,300,0.6,Tr
26,,1202002,"Yuppuuann,gudp",1.5,1.0,0.4,Tr,Tr,5,1.4,127,Tr,13,171,161,300,0.6,Tr
27,,1202003,Opyuutn,19.9,12.5,5.8,0.6,,60,0.7,93,0.4,10,81,110,41,0.5,Tr
28,"Tuuhp Innh, pupu,",,"Tuuhp Innh, pupu,",,,,,,,,,,,,,,,
29,"uuhnul, whun, ynyh,",1202004,"uuhnul, whun, ynyh,",22.0,,,,,,8.0,800,0.3,30,210,150,740,,0.52
