,0,1,2,3,4,5,6,7,8,9,10,11
0,Food,Code,Letter,Name,Energy,Energy,Protein,Fat,Carbo-,FibreF,Phytate,Water
1,group,Code,code,Name,Energy,Energy,Protein,Fat,hydrate,FibreF,Phytate,Water
2,,,,,kcal,kJ,g,g,g,g,g,g
3,1.8 - Mani Mono and Churo,1.8 - Mani Mono and Churo,1.8 - Mani Mono and Churo,1.8 - Mani Mono and Churo,,,,,,,,
4,117,4455,RM, Mani mono,30,126,0.7,0.1,7.9,0.9,0.02,90
5,119,4450,RH,Mani mono and sugar,40,167,0.7,0.1,10.4,1.1,0.02,87
6,120,4472,SD,Mani mono and sour milk,50,209,1.6,1.2,8.9,1.0,0.02,85
7,121,4447,RE,"Mani mono, sour milk and sugar",38,159,1.0,0.5,8.1,0.9,0.02,88
8,117,4487,Ss,Mani mono and baobab juice,30,126,0.7,0.1,7.9,0.9,0.02,90
9,120,4486,SR,"Mani mono, sour milk and baobab juice",50,209,1.6,1.2,8.9,1.0,0.02,85
10,119,4411,PU,"Mani mono, sugar and baobab juice",39,162,0.6,0.1,10.3,1.1,0.02,88
11,117,4462,RT,Mani churo,54,226,1.2,0.3,13.3,1.4,0.03,83
12,119,4479,SK,Mani churo and sugar,49,205,0.9,0.2,11.8,0.9,0.03,86
13,120,4175,GS,Mani churo and sour milk,56,235,1.7,1.1,11.4,1.1,0.02,84
14,122,4497,TC,Tiakere churo,62,259,2.0,1.9,9.9,1.2,0.06,85
15,123,4505,TK,Tiakere churo and sugar,68,285,2.0,1.9,11.2,1.2,0.06,83
16,122,4504,TJ,Tiakere churo and sour milk,67,281,2.3,2.3,9.7,0.9,0.06,84
17,123,4516,TV,"Tiakere churo, sour milk and sugar",73,307,2.1,2.0,13.3,1.1,0.06,82
18,122,4502,TH,"Tiakere churo,sour milk and baobab juice",67,281,2.3,2.3,9.7,0.9,0.06,84
19,2 - Millet (Sanyo/Suno),2 - Millet (Sanyo/Suno),2 - Millet (Sanyo/Suno),,,,,,,,,
20,136,4638,YN,Sanyo nyelengo and naa,152,636,4.3,0.6,30.7,4.0,0.20,58
21,127,4636,YL,Sanyo futo and naa,221,925,6.2,1.1,48.1,6.7,0.24,39
22,2.1 - Sanyo Nyelengo and Sauces,2.1 - Sanyo Nyelengo and Sauces,2.1 - Sanyo Nyelengo and Sauces,2.1 - Sanyo Nyelengo and Sauces,,,,,,,,
23,137,4631,YG,"Sanyo nyelengo, naa and tia durango",115,481,4.5,2.2,22.2,2.4,0.15,70
24,138,4377,OM,,134,560,5.4,2.9,21.2,3.0,0.17,65
25,137,4245,JK,"Sanyo nyelengo, naa and jambo",137,574,4.7,2.8,22.3,3.2,0.19,65
26,137,4249,JO,"Sanyo nyelengo, naa, jambo and pumpkin",122,512,3.9,1.7,21.7,3.1,0.17,67
27,2.2 - Sanyo Futo and Sauces,2.2 - Sanyo Futo and Sauces,2.2 - Sanyo Futo and Sauces,2.2 - Sanyo Futo and Sauces,,,,,,,,
28,128,4372,OH,"Sanyo futo,naa and water",133,556,3.9,0.7,28.6,4.0,0.14,63
29,128,4781,YAF,"Sanyo futo,naa and fish dajiwo",118,493,3.8,0.6,25.0,3.5,0.12,66
30,128,4782,YTQ,"Sanyo futo,naa and tia dajiwo",129,541,3.8,1.8,25.2,3.7,0.15,66
31,128,4783,YCE,"Sanyo futo, naa and leaf (jambanduro) dajiwo",116,486,3.4,0.6,25.2,3.5,0.13,67
32,128,4784,YVW,"Sanyo futo, naa and pumpkin dajiwo",115,483,3.2,0.6,25.1,3.5,0.13,68
