,0,1,2,3,4,5,6,7,8,9
0,,,,Composition per 100g ingredient,Composition per 100g ingredient,,,,,
1,Food,Ingredient,,,Water,Water,Protein,Fat,Carbohydrate,kcal
2,code,,,,,g,g,g,g,
3,4118,"Wheat flour, white",,,13,13,9.8,1.2,80.1,350
4,4127,Tomato paste,,,75,75,5.0,0.3,14.2,76
5,4001,Challo dried,,,20,20,61.1,9.3,0.0,328
6,4023,"Challo, flesh only",,,75,75,19.1,2.9,0.0,103
7,4033,Tomatoes,,,93,93,0.9,0.0,2.8,14
8,4034,Onions,,,93,93,0.9,0.0,5.2,23
9,4043,"Chilli pepper, dried",,,,8,15.0,11.0,33.0,283
10,4120,Vegetable oil,,,,0,0.0,99.9,0.0,900
11,,,,,Amounts in the sauce,,,,,
12,Food,Ingredient,,Amount,Water,Water,Protein,Fat,Carbohydrate,kcal(kJ)
13,code,,,g,,g,g,g,g,
14,4118,"Wheat flour, white",,267,35,35,26.2,3.2,213.9,935
15,4127,Tomato paste,,100,75,75,5.0,0.3,14.2,76
16,4001,Challo dried,,326,65,65,199.2,30.3,0.0,1069
17,4023,"Challo, flesh only",,170,128,128,32.5,4.9,0.0,175
18,4033,Tomatoes,,259,241,241,2.3,0.0,7.3,36
19,4034,Onions,,200,186,186,1.8,0.0,10.4,46
20,4043,"Chilli pepper, dried",,10,,1,1.5,1.1,3.3,28
21,4120,Vegetable oil,,360,,0,0.0,359.6,0.0,3240
22,,Water added (unknown quantity),Water added (unknown quantity),,,,,,,
23,,Total in recipe (apart from added water) (a),Total in recipe (apart from added water) (a),1692,730,730,268.5,399.5,249.0,5605
24,,Composition per 100g (apart from added water) (b),Composition per 100g (apart from added water) (b),100,43,43,15.9,23.6,14.7,331
25,,Composition per 100g.,adiusted for added water(c,100,65*,65*,9.8,14.5,9.0,203 (849)
