,0,1,2,3,4
0,,(including mass,gravity,,Version
1,,and bulk density),,,2.0
2,Benedictine D.O.M.,,1.07,CG,x
3,Blackberry brandy,,1.06,CG,x
4,Blackberry liquor,,1.1,CG,x
5,Blue curacao,,1.11,CG,x
6,Brandy,,1.04,CG,x
7,Campari,,1.06,CG,x
8,Cherry brandy,,1.06,CG,x
9,Cherry liqueur,,1.12,CG,
10,Coffee liquor,,1.13,CG,
11,Cointreau,,1.04,CG,
12,Creme de almond,,1.16,CG,
13,Creme de banana,,1.14,CG,X
14,Creme de cacao,,1.14,CG,x
15,Creme de cassis,,1.18,CG,x
16,Creme de noyaux,,1.165,CG,X
17,Drambuie,,1.08,CG,X
18,Frangelico,,1.08,CG,x
19,Galliano,,1.11,CG,x
20,Green chartreuse,,1.01,CG,
21,Green creme de menthe,,1.12,CG,
22,Kummel,,1.04,CG,X
23,Liqueur,1.03-1.150,,DK,
24,"Liqueur, type advocaat",,1.093,UK 6th,
25,"Liqueur, type cherry brandy",,1.093,UK 6th,
26,"Liqueur, type curacao",,1.052,UK 6th,
27,Midori melon liquor,,1.05,CG,x
28, Orange curacao,,1.08,CG,
29,Parfrait d'amour,,1.13,CG,
30,Peach brandy,,1.06,CG,
31,Peach liqueur,,1.04,CG,
32,Peppermint schnapps,,1.04,CG,x
33,Port,,1.026,UK 6th,
34,Rock and Rye,,1.05,CG,
35,"Sherry, dry",,0.988,UK 6th,
36,"Sherry, medium",,0.998,UK 6th,
37,"Sherry, sweet",,1.009,UK 6th,
38,Sloe gin,,1.04,CG,
39, Southern comfort,,0.97,CG,
40,"Spirits, 40% alcohol",,0.950,UK 6th,
41,"Spirits, 45% alcohol (whiskey)",0.939,,DK,
42,"Spirits, 70% alcohol",0.885,,DK,
43,"Spirits, 75% alcohol",0.873,,DK,
44,Strawberry liqueur,,1.12,CG,
45,Tia Maria,,1.09,CG,
46,Triple sec,,1.09,CG,
47,Tuaca,,0.98,CG,X
