,0,1
0,Vernacular namea,Scientific nameb
1,Common bean,Phaseolus vulgaris L
2,"(main varieties:Black turtle bean,Kidney",Phaseolus aborigineus Burkart
3,"bean,Navy bean,Cranberry bean",Phaseolus aborigineus var. hondurensis Burkart
4,,Phaseolus communis Pritz
5,,Phaseolus esculentus Salisb.
6,Lima bean,Phaseolus lunatus L.
7,,Phaseolus bipunctatus Jacq.
8,,Phaseolus falcatus Benth.ex Hemsl.
9,,Phaseolus inamoenus L.
10,,Phaseolus limensis Macfad
11,,Phaseolus macrocarpus Moench
12,,Phaseolus portoricensis Bertero ex Spreng.
13,,Phaseolus puberulus Kunth
14,,Phaseolus rosei Piper
15,,Phaseolus saccharatus Macfad
16,,Phaseolus viridis Piper
17,,Phaseolus xuaresii Zuccagni
18,,Phaseolus xuarezii Zuccagni
19,Mungo bean,Vigna mungo (L.) Hepper
20,,Azukia mungo (L.) Masam.
21,,Phaseolus mungo L.
22,,Phaseolus roxburghii Wight & Arn.
23,Adzuki bean,Vigna angularis (Willd.) Ohwi & H. Ohashi
24,,Azukia angularis (Willd.) Ohwi
25,,Dolichos angularis Willd.
26,,Phaseolus angularis (Willd.) W.Wight
27,,Phaseolus nipponensis Ohwi
28,,Vigna angularis var. nipponensis (Ohwi) Ohwi & H. Ohashi
29,Mung bean,Vigna radiata (L.) R. Wilczek
30,,Azukia radiata (L.) Ohwi
31,,Phaseolus abyssinicus Savi
32,,Phaseolus aureus Roxb.
33,,Phaseolus aureus Wall.
34,,Phaseolus aureus Zuccagni
35,,Phaseolus hirtus Retz.
36,,Phaseolus hirtus Wall.
37,,Phaseolus radiatus L.
38,,Rudua aurea (Roxb.) Maekawa
