,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,6w,00,00,90,00,02,04,02,02,00,02,0.2,0,02
1,,6rl,0'0,00,00,00,0.2,:,00,00,00,00,00,00,00
2,,6,1.10,118,1176,,1174,20,,,96,9'88,,,140
3,YIFF6,6w,0,00,02,,02,0,0,0,00,04,04,,00
4,NIA,,,0.2,8'0,,80,0,02,0.2,00,60,,80,90
5,RIRF,6w,0,00,00,0.0,,00,00,00,00,,02,00,07
6,VIIATIHA,6w,0,00,,00,00,0,00,00,0'0,00,0,07,00
7,VIIATIHA,,100,,,,210,40,,,,,222,,1.10
8,TTEYEFTTTTE,6r,0'0,0,22,1.17,40,,10,,,00,0.2,02,00
9,TTEYEFTTTTE,6,0'0,00,00,00,0'0,,00,,00,00,00,00,00
10,TTEYEFTTTTE,,0,0,00,00,214,00,00,00,00,00,00,00,00
11,VTTA,3P 6 r,,,1100,,,0'0,,,,,,,560
12,,,,,,,,2,,,2,,33,,
