,0,1,2
0,528,Rice porridge with sugar,
1,,10 g rice flour,
2,,15 g sugar,
3,,Total = 100 g,
4,530,Rice bread,
5,,2.75 kgrice flour,875 g sugar
6,,100 g vegetable oil,2.25 L coconut milk
7,,10 g yeast,
8,,Total = 8 kg,
9,531, Maize porridge with margarine and sugar, Maize porridge with margarine and sugar
10,,150 g maize flour,4 g margarine
11,,150 g sugar,
12,,Total = 1.15 kg,
13,532,Donut -- African (Mandazi),
14,,1 kg plain flour,150 g vegetable oil
15,,250 g sugar,
16,,Total = 2 kg,
17,534,Cake,
18,,240 g plain flour,150 g egg
19,,240 g sugar,10 g baking powder
20,,240 g butter,
21,,Total = 1 kg,
22,535,Vermicelli with coconut milk and sugar,Vermicelli with coconut milk and sugar
23,,225 g vermicelli,40 g coconut milk
24,,6 g sugar,
25,,Total = 400 g,
26,536,Vermicelli with oil and sugar,
27,,225 g vermicelli,12 g vegetable oil
28,,9 g sugar,
29,,Total = 450 g,
30,537,Vermicelli with coconut milk and salt,Vermicelli with coconut milk and salt
31,,120 g vermicelli,1 g salt
32,,40 g coconut milk,
33,,Total = 225 g,
34,540,Rice with ground beef,
35,,250 g rice,125 g ground beef
36,,5 g salt,45 g vegetable oil
37,,70 g carrot,50 g groundnut
38,,Total = 700 g,
