,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,Amino acids,TRP,THR,ILE,LEU,LYS,MET,CYS,PHE,TYR,VAL,ARG,HIS
1,,,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg
2,401,"Amaranth, leaves, raw",24.0,130.0,175.0,306.0,173.0,51.0,32.0,168.0,116.0,196.0,196.0,87.0
3,424,"Bean, cluster",19.0,101.0,97.0,160.0,157.0,41.0,16.0,99.0,56.0,116.0,212.0,53.0
4,425,"Bean, french",20.0,82.0,69.0,116.0,91.0,23.0,18.0,69.0,44.0,93.0,76.0,35.0
5,431,"Cabbage, chinese, raw",25.0,60.0,82.0,69.0,103.0,21.0,34.0,60.0,119.0,88.0,165.0,40.0
6,402,"Cabbage, cooked",6.0,22.0,32.0,33.0,30.0,6.0,5.0,20.0,11.0,27.0,36.0,13.0
7,403,"Cabbage, raw, green, white",10.0,35.0,51.0,52.0,47.0,10.0,8.0,32.0,17.0,43.0,57.0,20.0
8,430,"Carrot, juice",12.0,40.0,43.0,46.0,43.0,7.0,9.0,34.0,21.0,46.0,45.0,17.0
9,404,"Carrots, raw",12.0,40.0,43.0,46.0,43.0,7.0,9.0,34.0,21.0,46.0,45.0,17.0
10,409,Cassava leaf,7.0,24.0,35.0,36.0,33.0,7.0,6.0,22.0,12.0,30.0,40.0,14.0
11,405,"Cauliflower, cooked without salt",15.0,49.0,72.0,73.0,67.0,14.0,12.0,45.0,24.0,61.0,81.0,29.0
12,406,"Cauliflower, raw",12.0,36.0,31.0,50.0,43.0,12.0,19.0,30.0,20.0,41.0,46.0,20.0
13,427,"Chii, green",5.0,19.0,21.0,29.0,29.0,6.0,4.0,19.0,11.0,22.0,44.0,10.0
14,410,Cowpea leaf,8.0,30.0,36.0,52.0,39.0,9.0,4.0,35.0,22.0,43.0,46.0,19.0
15,407,"Cucumber, with peel, raw",5.0,19.0,21.0,29.0,29.0,6.0,4.0,19.0,11.0,22.0,44.0,10.0
16,408,"Egg plant, raw",24.0,130.0,175.0,306.0,173.0,51.0,32.0,168.0,116.0,196.0,196.0,87.0
17,411,"Green medium, leaf",24.0,130.0,175.0,306.0,173.0,51.0,32.0,168.0,116.0,196.0,196.0,87.0
18,429,Green pepper (capsicum),25.0,60.0,82.0,82.0,103.0,21.0,34.0,60.0,119.0,88.0,165.0,40.0
