,0,1,2,3,4,5,6,7,8
0,,Macronutrients,FASAT,FAMS,FAPU,CHOLE,FIB,SUCS,PHYTAO
1,,,g,g,g,mg,g,g,mg
2,765,Okra relish with coconut milk,2.7,0.1,0.1,0.0,0.0,2.0,54.0
3,781,"Okra, fried",8.7,0.6,0.2,0.0,1.5,0.1,38.5
4,780,Sweet potato leaf relish with coconut milk,11.9,0.6,0.2,0.0,7.1,0.0,188.4
5,777,Potato leaf relish with milk,1.4,0.8,0.1,8.0,4.0,0.0,53.4
6,764,Potato leaf relish with oil,9.4,0.5,0.4,0.0,0.7,0.2,84.0
7,772,Potato samosa,1.3,2.1,5.3,0.0,1.1,0.2,91.0
8,769,Pumpkin leaf relish without oil,0.0,0.0,0.1,0.0,1.8,0.2,21.2
9,768,Pumpkin leaf relish with oil,4.9,0.3,0.2,0.0,1.7,0.2,20.0
10,770,Spinach relish with groundnut and oil,12.5,1.2,0.5,0.0,0.5,0.2,0.6
11,752,Spinach relish without oil,0.0,0.0,0.1,0.0,1.2,0.1,35.1
12,753,Spinach relish with oil,7.8,0.5,0.2,0.0,0.6,0.1,30.0
13,771,Spinach relish with sesame seeds,0.5,1.4,1.7,0.0,1.6,0.1,398.2
14,785,Tomato relish,0.1,0.1,0.1,0.0,1.7,0.0,20.9
