,0,1,2,3,4,5,6,7
0,,Macronutrients,ENERGY_KC,PROCNT,A_PROTEI,MFP_PROT,FAT,CHOCDF
1,,,Kcal,g,g,g,g,g
2,463,"Salt, iodized",0.0,0.0,0.0,0.0,0.0,0.0
3,464,"Salt,non-iodized",0.0,0.0,0.0,0.0,0.0,0.0
4,474,Soy sauce,60.0,10.5,0.0,0.0,0.1,5.6
5,475,"Soybean milk, dried",380.0,40.5,0.0,0.0,24.0,9.5
6,465, Sugar,387.0,0.0,0.0,0.0,0.0,99.9
7,466,Sugarcane,26.0,0.0,0.0,0.0,0.0,6.8
8,467,Sugarcane juice,56.0,0.0,0.0,0.0,0.0,14.6
9,468,Tea leaves,1.0,0.0,0.0,0.0,0.0,0.2
10,469,Termite,369.0,19.7,19.6,19.6,31.2,1.0
11,489,Tomato juice,26.0,0.8,0.0,0.0,0.1,5.7
12,470,Tomato ketchup,101.0,1.0,0.0,0.0,0.3,25.3
13,478,Tomato paste,63.0,0.0,2.7,0.0,0.0,0.9
14,480,"Vinegar, wine",19.0,0.0,0.0,0.0,0.0,0.3
