,0,1,2,3
0,752,Spinach relish with no oil,Spinach relish with no oil,
1,,"280 g spinach leaves, raw","280 g spinach leaves, raw",220 g tomato
2,,40 g onion,40 g onion,200 mg salt
3,,Total = 400 g,Total = 400 g,
4,753,Spinach relish with oil,Spinach relish with oil,
5,,"320 g spinach leaves, raw","320 g spinach leaves, raw",15 g tomato
6,,30 g onion,30 g onion,55 g vegetable oil
7,,200 mg salt,200 mg salt,
8,,Total = 490 g,Total = 490 g,
9,754,Cabbage and onion salad (Kachumbari),Cabbage and onion salad (Kachumbari),Cabbage and onion salad (Kachumbari)
10,,300 g cabbage,300 g cabbage,200 g cucumber
11,,150 g onion,150 g onion,lime
12,,30 g tomato,30 g tomato,100 mg salt
13,,Total =600 g,Total =600 g,
14,755,Cabbage relish with oil,Cabbage relish with oil,
15,,2 kg cabbage,2 kg cabbage,250 g onion
16,,250 g carrot,250 g carrot,700 g tomato
17,,300 g,green peas,120 g vegetable oil
18,,250g,pepper,20 g salt
19,,Total = 6.25 kg,Total = 6.25 kg,
20,756,Cassava leaf relish with groundnut,Cassava leaf relish with groundnut,
21,,500 g cassava leaves,500 g cassava leaves,175 g onion
22,,125 g tomato,125 g tomato,1 g salt
23,,100 g roasted groundnut,100 g roasted groundnut,
24,,Total =750 g,Total =750 g,
25,757,Cassava leaf relish with coconut milk,Cassava leaf relish with coconut milk,Cassava leaf relish with coconut milk
26,,65 g cassava leave,65 g cassava leave,200 mg salt
27,,45 g coconut milk,45 g coconut milk,
28,,Total = 100 g,Total = 100 g,
29,789,Cowpea leaf with coconut milk,Cowpea leaf with coconut milk,
30,,100 g cowpea leaves,100 g cowpea leaves,200 mg salt
31,,115 g coconut milk,115 g coconut milk,
32,,Total = 100 g,Total = 100 g,
33,763,Green leaf relish with coconut milk,Green leaf relish with coconut milk,
34,,100 g medium green leaves (any),100 g medium green leaves (any),200 mg salt
35,,27 g coconut milk,27 g coconut milk,
36,,Total = 100 g,Total = 100 g,
