,0,1,2,3,4,5,6,7,8,9,10,11
0,,Minerals,CA,P,MG,K,NA,FE,MFP_FE ZN,MFP_FE ZN,CU,MN
1,,,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg
2,663,Bambara nut relish with coconut milk 44.2,Bambara nut relish with coconut milk 44.2,68.0,24.3,254.3,116.6,1.2,0.0,0.5,0.1,0.4
3,32,Bhajia (chickpea flour fritters),107.6,363.8,104.6,649.0,15.2,6.3,0.0,3.2,0.7,2.2
4,664,Chick pea relish with coconut milk,21.6,88.0,25.1,193.7,99.6,1.6,0.0,0.8,0.2,0.7
5,653,Cow pea (dry) relish without oil,24.0,156.0,53.0,278.0,4.0,2.5,0.0,1.3,0.3,0.5
6,654,Cow pea (dry) relish with oil,20.1,122.7,275.3,364.4,2.0,0.0,1.0,0.2,0.0,0.1
7,651,Cow pea (fresh) relish without oil,14.9,95.3,32.9,205.6,4.1,1.6,0.0,0.8,0.2,0.3
8,652,Cow pea relish with coconut milk,22.0,143.0,47.5,283.1,53.1,2.4,0.0,1.2,0.3,0.6
9,657,Kidney bean relish without oil,18.7,90.8,28.7,261.2,1.4,1.8,0.0,0.7,0.1,0.3
10,656,Kidney bean relish with oil,20.9,104.2,33.4,314.2,2.2,2.1,0.0,0.8,0.2,0.3
11,655,Kidney bean relish with coconut milk 14.5,Kidney bean relish with coconut milk 14.5,71.8,23.5,275.5,117.2,2.1,0.5,1.1,0.7,1.1
12,662,Mung bean (dry) relish with cocount milk10.0,Mung bean (dry) relish with cocount milk10.0,57.5,19.5,107.9,278.2,0.9,0.0,0.5,0.1,0.2
13,658,"Mung bean (dry, boiled)",6.0,39.0,13.0,70.0,1.0,0.6,0.0,0.3,0.1,0.1
14,659,"Pigeon pea (fresh, cooked)",29.7,101.3,34.8,220.4,81.6,1.2,0.0,0.8,0.2,0.3
15,660,Pigeon pea relish with coconut milk,16.1,69.1,22.3,172.7,6.0,1.0,0.0,0.6,0.2,0.5
16,661,Pigeon pea relish with oil,66.3,228.9,78.8,494.9,9.6,2.8,0.0,1.8,0.5,0.8
