,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0,Source,Source,Source,,,,Country,,Analytical,Analytical,,,Foods analysed,Foods analysed,,,No. of samples,No. of samples,,,,,,Sample handling,,,,,,,,Sampling plan,,,,Sampling plan,Sampling plan,Sampling plan,Sampling plan,Sampling plan,,,
1,,,,,,,,,method,method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Van Etten,Van Etten,Van Etten,Van Etten,,,USA,,Glucose-,,,Red cabbage,Savoy cabbage,,,,Eight cultivars,,,,,,,Details provided in separate reference,,,,,,,,Samples grown in multiple geographical,,,,,,,,,,,
3,et al. (1980),et al. (1980),et al. (1980),et al. (1980),,,,,release,,,,White cabbage,,,,Four cultivars,,,,,,,,,,,,,,,Iocations. Multiple cultivars analysed,,,,,,,,,,,
4,,,,,,,,,method,,,,White cabbage,,,Sixty-seven,Sixty-seven,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Yen & Wei,Yen & Wei,Yen & Wei,Yen & Wei,,,Taiwan,,Glucose-,,,,Chinese mustard,,,,Two samples,,,,,,,"Vegetables were ground, freeze-dried",,,,,,,Samples collected from one,Samples collected from one,Samples collected from one,,Samples collected from one,,Samples collected from one,Samples collected from one,,,,,
6,(1993),(1993),(1993),,,,Taiwan,,method,,,,Chinese kale,,,,Two samples,,,,,,,and stored at -- 40C before sample,,,,,,,,collected from local market so may,,,geographical location (samples,,geographical location (samples,geographical location (samples,,geographical location (samples,,,
7,,,,,,,,,method,,,,Chinese kale,,,,Two samples,,,,preparation and analysis,preparation and analysis,preparation and analysis,preparation and analysis,,,,,,,,collected from local market so may,,,,,,,,,,,
8,,,,,,,,,,,,Broccoli,Broccoli,,,,Two samples,,,,,,,,,,,,,,represent wider region),represent wider region),represent wider region),represent wider region),represent wider region),represent wider region),represent wider region),represent wider region),,,,,
9,,,,,,,,,,,,,White cabbage,,,,Two samples,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,Red cabbage,,,,Two samples,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,Cauliflower,Cauliflower,,,,Two samples,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,Leaf mustard,Leaf mustard,,,,Two samples,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,Radish,Radish,,,,Two samples,,,,,,,,,,,,,,,,,,,,,,,,,,
