,0,1,2
0,Name of dish,,Description
1,Keleng keleng,,A dish that consists of a green leafy vegetable sliced and boiled with ground
2,,,"nuts,meat or fish (especially dried meat or fish.It has a thick consistency and"
3,,"is eaten with garri, corn or cassava fufu.","is eaten with garri, corn or cassava fufu."
4,Meat Stew/chicken,,"A sauce made of tomatoes with meat (such as chicken and pork),snails or fish"
5,stew/fish stew,,"It is eaten with rice, plantains, yams, cassava or any other starchy foods."
6,Kpem,,A thick vegetable sauce made with cassava leaves and palm nut pulp.Ground
7,,nuts or melon seeds can be added. It is eaten with starchy foods.,nuts or melon seeds can be added. It is eaten with starchy foods.
8,Sanga,,"A dish of fresh corn boiled with cassava, huckleberry or pumpkin leaves in"
9,,palm nut pulp. It is eaten as a meal.,
10,Huckleberry and,,"A soup of leafy vegetables cooked with tomatoes,onions and other spices and"
11,pumpkin leaves,,ground nuts. Fish or meat is usually added. It is eaten with starchy foods and
12,soup,popular in the central part of Cameroon.,popular in the central part of Cameroon.
13,Okra pod soup,,"A soup that is prepared with fresh okra, dried fish, tomatoes, spices and"
14,,"ground nuts. It is eaten with garri, corn and cassava fufu.","ground nuts. It is eaten with garri, corn and cassava fufu."
15,Okra leaves soup,Leaves of okra plant prepared in the same way as keleng keleng,Leaves of okra plant prepared in the same way as keleng keleng
16,Bean stew,,"A stew made of dried beans, tomatoes, crayfish, onions and palm oil."
17,Koki corn/koki,,"A dish of ground fresh corn or beans mixed with palm oil salt, onions and"
18,beans,,some green leafy vegetables and then wrapped in leaves and steam cooked
19,,,The koki beans is eaten with starchy foods while the koki corn is eaten alone as
20,,a snack.,
21,Ndole,,It is a sauce made of washed bitter leaves (vernonia and cooked with meat
22,,dried shrimps and ground nut paste.,
23,Steamed snails,,Snails are mixed with spices and wrapped in banana leaves and steam cooked
24,,It is eaten with starchy foods.,
25,Cassava fufu,,A dish of fermented cassava flour cooked into a paste and served with different
26,,soups.,
27,Corn fufu,,A dish made of dried ground corn and cooked into a paste. It is eaten with
28,,okra and njamnjama soups.,
29,Cassava pudding,,A dish made of grated fresh cassava mixed with palm oil and salt and then
30,,,wrapped in hard leaves and steamed cooked. It is eaten as a snack.
31,Egusi or melon seed,,"A dish made of ground melon seeds egusi mixed with water, dried fish and"
32,pudding,,spices and then wrapped in leaves and steamed cooked. It is served with boiled
33,,"cassava, yams, and plantains.",
34,Pap,,"A dish made of hot cereal, fermented corn, sorghum or millet flours and mixed"
35,,,"with water, sugar and lemon. It is eaten with bread or Beignet for breakfast. It"
36,,is also a weaning food.,
37,Steamed fish,,Prepared and cooked in a manner similar to steamed snails.
38,Groundnut,,A dish made of fried ground peanuts mixed with water and spices and then
39,pudding,,wrapped in leaves and steam cooked. It is served with starchy foods.
40,Njamanjama,,"A typical dish in the North West Province of Cameroon,which is made of"
41,,,Huckleberry leaves cooked and sauted in palm oil. It is eaten with corn fufu
42,Chicken stew,Prepared and cooked in a manner similar to meat stew.,Prepared and cooked in a manner similar to meat stew.
