,0,1,2,3,4,5,6
0,Nutrient,,Iron,,,,
1,INFOODS component tag name,INFOODS component tag name,FE,,,,
2,Food name (English),"Rice, polished, steamed","Rice, polished, steamed",,,,
3,Food code (FC,Food code (FC,01015,,,,
4,Source (reference) available?(Answer: yes or no),Source (reference) available?(Answer: yes or no),Yes,,,,
5,Full reference: Puwastein et al. (2015),Full reference: Puwastein et al. (2015),,,,,
6,Content (unit/matrix unit),0.20 mg / 100 g,0.20 mg / 100 g,,,,
7,,,,YES,NO,N/A,QI
8,FOOD DESCRIPTION,FOOD DESCRIPTION,,,,,
9,FOR ALL TYPES OFFOOD,FOR ALL TYPES OFFOOD,,,,,
10,Is the food group known?,Is the food group known?,,X,,,
11,Was the food source of the food or of the main ingredient clearly provided?,Was the food source of the food or of the main ingredient clearly provided?,,x,,,
12,Was the part of plant or part of animal clearly indicated?,Was the part of plant or part of animal clearly indicated?,,,,X,
13,,"If relevant, was the analysed portion described and is it stated explicitly if the food was analysed with or",,X,,,
14,without the inedible part?,without the inedible part?,,,,,
15,"If relevant, was the extent of heat treatment provided?","If relevant, was the extent of heat treatment provided?",,x,,,
16,"If the food was cooked, were satisfactory cooking method details provided?","If the food was cooked, were satisfactory cooking method details provided?",,,x,,
17,Was relevant information on treatment applied provided?,Was relevant information on treatment applied provided?,,,x,,
18,Was information on preservation method provided?,Was information on preservation method provided?,,,,x,
19,"If relevant, was information on packing medium provided?","If relevant, was information on packing medium provided?",,,,x,
20,(If relevant) Was information about the origin of food provided?,(If relevant) Was information about the origin of food provided?,,x,,,
21,"If relevant, was the month or season of production indicated?","If relevant, was the month or season of production indicated?",,,x,,
22,Was the moisture content of the sample measured and the result given?,Was the moisture content of the sample measured and the result given?,,X,,,
23,FORMANUFACTURED PREPACKEDFOOD ONLY,FORMANUFACTURED PREPACKEDFOOD ONLY,,,,,
24,Was generic name provided?,Was generic name provided?,,,,x,
25,Was commercial name provided?,Was commercial name provided?,,,,x,
26,"If relevant, was brand name provided?","If relevant, was brand name provided?",,,,x,
27,Was relevant information on consumer group/dietary use/label claim provided?,Was relevant information on consumer group/dietary use/label claim provided?,,,,x,
28,Was recipe description provided?,Was recipe description provided?,,,,x,
29,Food Description QI: Y/(Y + N)  5,Food Description QI: Y/(Y + N)  5,,,,,3
30,COMPONENT IDENTIFICATION,COMPONENT IDENTIFICATION,,,,,
31,Is the component described unambiguously?,Is the component described unambiguously?,,X,,,
32,Is the unit unequivocal?,Is the unit unequivocal?,,,,,
33,Is the matrix unit unequivocal?,Is the matrix unit unequivocal?,,x,,,
34,Component identification QI,Component identification QI,,,,,5
35,SAMPLING PLAN,SAMPLING PLAN,,,,,
36,,Was the sampling plan developed to represent consumption in the country where the study was conducted?,,,x,,
37,Was the number of primary samples >9?,Was the number of primary samples >9?,,X,,,
38,"If relevant, were samples taken during more than one season of the year?","If relevant, were samples taken during more than one season of the year?",,,x,,
39,"If relevant, were samples taken from more than one geographical location?","If relevant, were samples taken from more than one geographical location?",,,x,,
40,,"If relevant, were samples taken from the most important sales outlets (supermarket, local grocery, street",,,,x,
41,"market,restaurant,household...)","market,restaurant,household...)",,,,,
42,,"If relevant, was more than one brand (for manufactured pre-packed product) or more than one cultivar (for",,X,,,
43,plant foods) or subspecies (for animal foods) sampled?,plant foods) or subspecies (for animal foods) sampled?,,,,,
44,Sampling plan QI,Sampling plan QI,,,,,2
45,NUMBER OF ANALYTICAL SAMPLES,NUMBER OF ANALYTICAL SAMPLES,,,,,
46,Is the number of analytical samples l?,Is the number of analytical samples l?,,,,,
47,Is the number of analytical samples 2?,Is the number of analytical samples 2?,,X,,,
48,Is the number of analytical samples 3?,Is the number of analytical samples 3?,,,,,
49,Is the number of analytical samples 4?,Is the number of analytical samples 4?,,,,,
50,Is the number of analytical samples>5?,Is the number of analytical samples>5?,,,,,
