,0,1,2,3,4,5,6,7,8,9
0,,Egusi,,,,,,,,
1,,(melon,Pap,,,,,,Huckle,
2,,seed),(hot,Snail,Tomato,Steamed FuFu,Steamed FuFu,Groundnut,berry,Okok
3,,puddinga,cereal)a,stewa,stewc,fisha,cornb,puddinga,sauceb,(eru)b
4,Number of,5,5,5,5,4,4,4,4,4
5,recipes,,,,,,,,,
6,collected,,,,,,,,,
7,Energy (kcal),25,33,143,193,77,187,403,199,200
8,Energy (kJ),104,138,599,807,321,785,"1,687",835,839
9,Water (g),93.0,92.0,75.1,74.8,83.0,53.5,33.5,79.2,73.1
10,Protein (g),3.3,0.8,11.3,4.3,12.7,3.6,18.3,5.3,4.5
11,Carbohydrates (g),3.1,7.0,2.7,0.9,1.5,39.4,11.5,2.9,3.0
12,Fat (g),0.1,0.2,9.8,19.4,2.4,1.5,35.0,19.2,20.0
13,Saturated fat (g),0.0,0.0,3.4,9.5,0.4,0.2,4.9,8.8,7.5
14,Monounsaturated,0.0,0.0,4.0,7.2,1.1,0.4,17.4,6.8,8.2
15,fat (g),,,,,,,,,
16,Polyunsaturated,0.0,0.1,1.8,1.9,0.8,0.6,11.1,2.7,3.4
17,fat (g),,,,,,0.0,,,
18,Omega-3 fatty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
19,acid (g),,,,,,,,,
20,Omega-6 fatty,0.0,0.0,1.6,1.8,0.6,0.0,11.1,1.5,3.3
21,acid (g),,,,,,,,,
22,Cholesterol (mg),8.9,0.0,29.0,13.2,37.0,0.0,0.0,10.8,2.4
23,Total dietary,0.3,0.7,0.7,0.5,0.6,1.7,6.1,0.9,1.4
24,fiber (g),,,0.7,,,1.7,,,
25,Thiamin (mg),0.0,0.0,0.1,0.0,0.1,0.2,0.5,0.1,0.1
26,Riboflavin (mg),0.1,0.0,0.1,0.0,0.0,1.0,0.1,0.1,0.1
27,Niacin (mg),0.5,0.1,1.7,0.4,1.3,3.0,8.6,1.4,1.8
28,Vit-B-6 (mg),0.1,0.0,0.1,0.1,0.2,0.2,0.3,0.1,0.1
29,Total folate (g),10.4,4.3,22.4,9.4,23.0,11.0,171,67.7,57.7
30,Vitamin A (g,4.5,0.0,0.8,3.8,1.7,0.0,0.1,26.2,9.9
31,Vitamin A (g,170,0.0,0.0,0.0,0.0,0.0,0.3,146,0.0
32,retinol,,,,,,,,,
33,equivalent),,,,,,,,,
34,Vitamin K (g),0.5,0.0,0.5,1.6,0.0,0.0,1.1,391,155
35,Calcium (mg),11.8,2.3,13.9,5.1,10.5,4.1,66.2,95.9,51.7
36,Iron (mg),0.4,0.1,2.4,0.1,0.3,0.6,3.3,1.6,1.1
37,Zinc (mg),0.2,0.1,0.8,0.1,0.4,0.2,2.3,1.1,0.6
38,Magnesium (mg),10.6,4.5,158,9.4,26.9,25.0,119.7,55.5,37.3
39,Manganese (mg),0.1,0.0,0.2,0.0,0.1,0.0,1.4,0.5,0.4
40,Selenium (g),4.8,0.7,0.6,6.9,19.5,1.7,5.1,3.4,1.5
41,Phosphorus (mg),48.1,7.6,187,46,132,51.7,267,85.3,67.0
42,Potassium (mg),212,14.6,287,132,267,62.7,502,399,229
43,Sodium (mg),19.9,3.0,43.3,31.1,77.8,2.0,13.7,42.2,23.7
