,0,1,2,3,4,5
0,,,,Mapping,,
1,1,"Pickle, cucum-","Pickle, cucum-",Cucumber,0.0,"Cucumber pickles, sour"
2,,"ber, sour",,"pickles, sour",,
3,2,All Bran Kel-,All Bran Kel-,(Kellogg's All-,0.25,(Kellogg's All-Bran)
4,,logg's,,Bran),,
5,3,Sunflower seeds,Sunflower seeds,Sunflower,"0.333 Sunflower seeds,NFS","0.333 Sunflower seeds,NFS"
6,,,,"seeds,NFS",,
7,4,Meat,extract,"Meat,NFS","0.578 Meat,NFS","0.578 Meat,NFS"
8,,'Bovril',,,,
9,5,Blue Cheese,Blue Cheese,"Cheese,Blue or","0.333 Cheese,Blue or Roquefort","0.333 Cheese,Blue or Roquefort"
10,,,,Roquefort,,
11,6,Pears canned,Pears canned,"Pear,cooked or",,"0.571 Pear, cooked or canned,in light"
12,,,,"canned,in light",,syrup
13,,,,syrup,,
14,7,Canned,"fish,","Fish, NS as to",0.6,"Fish,NS as to type,canned"
15,,average,,"type, canned",,
16,8,Chicken giblets,Chicken giblets,"Chicken liver,",0.5,"Chicken liver,fried"
17,,,,fried,,
18,9,Pate liver not,Pate liver not,Liver paste or,0.6,"Liver paste or pate,chicken"
19,,specified,,"pate,chicken",,
