,0,1
0,Parameter,Criteria
1,Identity,Unequivocal identification of food sampled
2,Sampling protocol,Collection of representative sample
3,Preparation of food sample,Cooking method
4,,Precautions taken
5,,Material rejected as inedibleetc
6,Laboratory and analytical sample,Nature of material analysed
7,preparation,Methods used for sample preparation
8,Analytical procedures,Choice of method
9,,Compatibility
10,,Quality assurance procedures
11,Mode of expression,Compatibility with that used in the database
