subject,predicat,object,comment,label
http://localhost/ontologies/food#SubstanceOrganique,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class,Des composés dont les elements chimique constitutifs est le carbone  a quelques exceptions pres,Organics Substances
http://localhost/ontologies/food#SubstanceOrganique,http://www.w3.org/2000/01/rdf-schema#subClassOf,_:node11,Des composés dont les elements chimique constitutifs est le carbone  a quelques exceptions pres,Organics Substances
http://localhost/ontologies/food#SubstanceOrganique,http://www.w3.org/2000/01/rdf-schema#comment,Des composés dont les elements chimique constitutifs est le carbone  a quelques exceptions pres,Des composés dont les elements chimique constitutifs est le carbone  a quelques exceptions pres,Organics Substances
http://localhost/ontologies/food#SubstanceOrganique,http://www.w3.org/2000/01/rdf-schema#label,Organics Substances,Des composés dont les elements chimique constitutifs est le carbone  a quelques exceptions pres,Organics Substances
http://localhost/ontologies/food#SubstanceOrganique,http://www.w3.org/2000/01/rdf-schema#label,Substances Organiques,Des composés dont les elements chimique constitutifs est le carbone  a quelques exceptions pres,Organics Substances
http://localhost/ontologies/food#SubstanceOrganique,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class,Des composés dont les elements chimique constitutifs est le carbone  a quelques exceptions pres,Substances Organiques
http://localhost/ontologies/food#SubstanceOrganique,http://www.w3.org/2000/01/rdf-schema#subClassOf,_:node11,Des composés dont les elements chimique constitutifs est le carbone  a quelques exceptions pres,Substances Organiques
http://localhost/ontologies/food#SubstanceOrganique,http://www.w3.org/2000/01/rdf-schema#comment,Des composés dont les elements chimique constitutifs est le carbone  a quelques exceptions pres,Des composés dont les elements chimique constitutifs est le carbone  a quelques exceptions pres,Substances Organiques
http://localhost/ontologies/food#SubstanceOrganique,http://www.w3.org/2000/01/rdf-schema#label,Organics Substances,Des composés dont les elements chimique constitutifs est le carbone  a quelques exceptions pres,Substances Organiques
http://localhost/ontologies/food#SubstanceOrganique,http://www.w3.org/2000/01/rdf-schema#label,Substances Organiques,Des composés dont les elements chimique constitutifs est le carbone  a quelques exceptions pres,Substances Organiques
http://localhost/ontologies/food#Maladie,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class,"Ensemble des maladies nuttritive connus, leurs causes et la façon de les prévenir ou réguler voire soigner par l'alimentation.",Maladie
http://localhost/ontologies/food#Maladie,http://www.w3.org/2000/01/rdf-schema#comment,"Ensemble des maladies nuttritive connus, leurs causes et la façon de les prévenir ou réguler voire soigner par l'alimentation.","Ensemble des maladies nuttritive connus, leurs causes et la façon de les prévenir ou réguler voire soigner par l'alimentation.",Maladie
http://localhost/ontologies/food#Maladie,http://www.w3.org/2000/01/rdf-schema#label,Maladie,"Ensemble des maladies nuttritive connus, leurs causes et la façon de les prévenir ou réguler voire soigner par l'alimentation.",Maladie
http://localhost/ontologies/food#Plat,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class,Un plat est constituer de plusieurs aliment.,Plat
http://localhost/ontologies/food#Plat,http://www.w3.org/2000/01/rdf-schema#subClassOf,_:node9,Un plat est constituer de plusieurs aliment.,Plat
http://localhost/ontologies/food#Plat,http://www.w3.org/2000/01/rdf-schema#comment,Un plat est constituer de plusieurs aliment.,Un plat est constituer de plusieurs aliment.,Plat
http://localhost/ontologies/food#Plat,http://www.w3.org/2000/01/rdf-schema#label,Plat,Un plat est constituer de plusieurs aliment.,Plat
http://localhost/ontologies/food#Repas,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class,Un repas qu'il soit complet ou non est un ensemble de plusieurs plat,Repas
http://localhost/ontologies/food#Repas,http://www.w3.org/2000/01/rdf-schema#subClassOf,_:node10,Un repas qu'il soit complet ou non est un ensemble de plusieurs plat,Repas
http://localhost/ontologies/food#Repas,http://www.w3.org/2000/01/rdf-schema#comment,Un repas qu'il soit complet ou non est un ensemble de plusieurs plat,Un repas qu'il soit complet ou non est un ensemble de plusieurs plat,Repas
http://localhost/ontologies/food#Repas,http://www.w3.org/2000/01/rdf-schema#label,Repas,Un repas qu'il soit complet ou non est un ensemble de plusieurs plat,Repas
http://localhost/ontologies/food#Region,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class,Les types d'alimentation et les repas les plus connues seront reparti selon les region ou sont le plus consommer,Region
http://localhost/ontologies/food#Region,http://www.w3.org/2000/01/rdf-schema#comment,Les types d'alimentation et les repas les plus connues seront reparti selon les region ou sont le plus consommer,Les types d'alimentation et les repas les plus connues seront reparti selon les region ou sont le plus consommer,Region
http://localhost/ontologies/food#Region,http://www.w3.org/2000/01/rdf-schema#label,Region,Les types d'alimentation et les repas les plus connues seront reparti selon les region ou sont le plus consommer,Region
http://localhost/ontologies/food#EstCompose,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty,Sa composition en terme de substance,Composed by
http://localhost/ontologies/food#EstCompose,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/2002/07/owl#topObjectProperty,Sa composition en terme de substance,Composed by
http://localhost/ontologies/food#EstCompose,http://www.w3.org/2000/01/rdf-schema#domain,http://localhost/ontologies/food#Repas,Sa composition en terme de substance,Composed by
http://localhost/ontologies/food#EstCompose,http://www.w3.org/2000/01/rdf-schema#range,http://localhost/ontologies/food#Plat,Sa composition en terme de substance,Composed by
http://localhost/ontologies/food#EstCompose,http://www.w3.org/2000/01/rdf-schema#comment,Sa composition en terme de substance,Sa composition en terme de substance,Composed by
http://localhost/ontologies/food#EstCompose,http://www.w3.org/2000/01/rdf-schema#label,Composed by,Sa composition en terme de substance,Composed by
http://localhost/ontologies/food#EstCompose,http://www.w3.org/2000/01/rdf-schema#label,Est Composer de,Sa composition en terme de substance,Composed by
http://localhost/ontologies/food#EstCompose,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty,Sa composition en terme de substance,Est Composer de
http://localhost/ontologies/food#EstCompose,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://www.w3.org/2002/07/owl#topObjectProperty,Sa composition en terme de substance,Est Composer de
http://localhost/ontologies/food#EstCompose,http://www.w3.org/2000/01/rdf-schema#domain,http://localhost/ontologies/food#Repas,Sa composition en terme de substance,Est Composer de
http://localhost/ontologies/food#EstCompose,http://www.w3.org/2000/01/rdf-schema#range,http://localhost/ontologies/food#Plat,Sa composition en terme de substance,Est Composer de
http://localhost/ontologies/food#EstCompose,http://www.w3.org/2000/01/rdf-schema#comment,Sa composition en terme de substance,Sa composition en terme de substance,Est Composer de
http://localhost/ontologies/food#EstCompose,http://www.w3.org/2000/01/rdf-schema#label,Composed by,Sa composition en terme de substance,Est Composer de
http://localhost/ontologies/food#EstCompose,http://www.w3.org/2000/01/rdf-schema#label,Est Composer de,Sa composition en terme de substance,Est Composer de
http://localhost/ontologies/food#Aliment,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class,Les aliments constituent donc le principal apport d'énergie pour le corps.,Aliment
http://localhost/ontologies/food#Aliment,http://www.w3.org/2000/01/rdf-schema#subClassOf,_:node7,Les aliments constituent donc le principal apport d'énergie pour le corps.,Aliment
http://localhost/ontologies/food#Aliment,http://www.w3.org/2000/01/rdf-schema#subClassOf,_:node8,Les aliments constituent donc le principal apport d'énergie pour le corps.,Aliment
http://localhost/ontologies/food#Aliment,http://www.w3.org/2000/01/rdf-schema#comment,Les aliments constituent donc le principal apport d'énergie pour le corps.,Les aliments constituent donc le principal apport d'énergie pour le corps.,Aliment
http://localhost/ontologies/food#Aliment,http://www.w3.org/2000/01/rdf-schema#label,Aliment,Les aliments constituent donc le principal apport d'énergie pour le corps.,Aliment
http://localhost/ontologies/food#Regime,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class,"Façon de s'alimenter et de se nourrir. Alimentation végétarienne basée sur la consommation de fruits, légumes et céréales, alimentation omnivore variée, alimentation carnée sont autant de régimes alimentaires différents.",Regime
http://localhost/ontologies/food#Regime,http://www.w3.org/2000/01/rdf-schema#comment,"Façon de s'alimenter et de se nourrir. Alimentation végétarienne basée sur la consommation de fruits, légumes et céréales, alimentation omnivore variée, alimentation carnée sont autant de régimes alimentaires différents.","Façon de s'alimenter et de se nourrir. Alimentation végétarienne basée sur la consommation de fruits, légumes et céréales, alimentation omnivore variée, alimentation carnée sont autant de régimes alimentaires différents.",Regime
http://localhost/ontologies/food#Regime,http://www.w3.org/2000/01/rdf-schema#label,Regime,"Façon de s'alimenter et de se nourrir. Alimentation végétarienne basée sur la consommation de fruits, légumes et céréales, alimentation omnivore variée, alimentation carnée sont autant de régimes alimentaires différents.",Regime
http://localhost/ontologies/food#Se_Mange_Avec,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Liens qui indique si on peut accompagner un repas avec un autre ou si l'un est seulement manger avec l'autre,Se Mange Avec
http://localhost/ontologies/food#Se_Mange_Avec,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty,Liens qui indique si on peut accompagner un repas avec un autre ou si l'un est seulement manger avec l'autre,Se Mange Avec
http://localhost/ontologies/food#Se_Mange_Avec,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://localhost/ontologies/food#Se_Mange_Avec,Liens qui indique si on peut accompagner un repas avec un autre ou si l'un est seulement manger avec l'autre,Se Mange Avec
http://localhost/ontologies/food#Se_Mange_Avec,http://www.w3.org/2000/01/rdf-schema#domain,http://localhost/ontologies/food#Plat,Liens qui indique si on peut accompagner un repas avec un autre ou si l'un est seulement manger avec l'autre,Se Mange Avec
http://localhost/ontologies/food#Se_Mange_Avec,http://www.w3.org/2000/01/rdf-schema#range,http://localhost/ontologies/food#Plat,Liens qui indique si on peut accompagner un repas avec un autre ou si l'un est seulement manger avec l'autre,Se Mange Avec
http://localhost/ontologies/food#Se_Mange_Avec,http://www.w3.org/2000/01/rdf-schema#comment,Liens qui indique si on peut accompagner un repas avec un autre ou si l'un est seulement manger avec l'autre,Liens qui indique si on peut accompagner un repas avec un autre ou si l'un est seulement manger avec l'autre,Se Mange Avec
http://localhost/ontologies/food#Se_Mange_Avec,http://www.w3.org/2000/01/rdf-schema#label,Se Mange Avec,Liens qui indique si on peut accompagner un repas avec un autre ou si l'un est seulement manger avec l'autre,Se Mange Avec
http://localhost/ontologies/food#TypeSubstanceOrganique,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class,ensembles qui regroupent les substances organiques en des petites familles.,Type des Substances Organiques
http://localhost/ontologies/food#TypeSubstanceOrganique,http://www.w3.org/2000/01/rdf-schema#subClassOf,_:node13,ensembles qui regroupent les substances organiques en des petites familles.,Type des Substances Organiques
http://localhost/ontologies/food#TypeSubstanceOrganique,http://www.w3.org/2000/01/rdf-schema#comment,ensembles qui regroupent les substances organiques en des petites familles.,ensembles qui regroupent les substances organiques en des petites familles.,Type des Substances Organiques
http://localhost/ontologies/food#TypeSubstanceOrganique,http://www.w3.org/2000/01/rdf-schema#label,Type des Substances Organiques,ensembles qui regroupent les substances organiques en des petites familles.,Type des Substances Organiques
http://localhost/ontologies/food#TypeSubstanceOrganique,http://www.w3.org/2000/01/rdf-schema#label,Type of organics substances,ensembles qui regroupent les substances organiques en des petites familles.,Type des Substances Organiques
http://localhost/ontologies/food#TypeSubstanceOrganique,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class,ensembles qui regroupent les substances organiques en des petites familles.,Type of organics substances
http://localhost/ontologies/food#TypeSubstanceOrganique,http://www.w3.org/2000/01/rdf-schema#subClassOf,_:node13,ensembles qui regroupent les substances organiques en des petites familles.,Type of organics substances
http://localhost/ontologies/food#TypeSubstanceOrganique,http://www.w3.org/2000/01/rdf-schema#comment,ensembles qui regroupent les substances organiques en des petites familles.,ensembles qui regroupent les substances organiques en des petites familles.,Type of organics substances
http://localhost/ontologies/food#TypeSubstanceOrganique,http://www.w3.org/2000/01/rdf-schema#label,Type des Substances Organiques,ensembles qui regroupent les substances organiques en des petites familles.,Type of organics substances
http://localhost/ontologies/food#TypeSubstanceOrganique,http://www.w3.org/2000/01/rdf-schema#label,Type of organics substances,ensembles qui regroupent les substances organiques en des petites familles.,Type of organics substances
http://localhost/ontologies/food#apporte,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ce qu'il peut apporter comme substance ou valeur nutritive.,Apporte
