,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,,,Energia,Energia,Energia,,,Grasas saturadas,Grasas saturadas,Grasas saturadas,,,Azucares agregados,Azucares agregados,Azucares agregados,Azucares agregados,,,Sodio,,
1,,Quintil de ingresos,Quintil de ingresos,Quintil de ingresos,Quintil de ingresos,Quintil de ingresos,Quintil de ingresos,,Quintil de ingresos,Quintil de ingresos,Quintil de ingresos,,Quintil de ingresos,Quintil de ingresos,Quintil de ingresos,Quintil de ingresos,Quintil de ingresos,,Quintil de ingresos,Quintil de ingresos,Quintil de ingresos
2,,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
3,1996-1997,,,,,,,,,,,,,,,,,,,,
4,Naturales o minimamente procesados,40,39,38,38,34,43,42,39,36,30,,0,0,,0,7,8,8,8,8
5,Ingredientes culinarios,23,22,21,20,20,30,26,24,22,22,75,66,62,54,45,56,53,55,52,50
6,Procesados,27,25,23,22,19,13,15,16,17,17,2,3,4,6,6,29,27,24,22,19
7,Ultraprocesados,10,14,17,21,26,13,18,21,25,31,23,30,34,40,48,8,12,14,17,23
8,2004-2005,,,,,,,,,,,,,,,,,,,,
9,Naturales o minimamente procesados,37,35,35,33,29,36,34,32,30,25,,,0,,,5,6,7,7,7
10,Ingredientes culinarios,18,17,18,17,15,23,20,20,19,17,57,48,47,40,32,52,52,50,50,43
11,Procesados,28,26,24,22,20,17,18,18,17,17,1,2,3,4,4,30,27,25,21,21
12,Ultraprocesados,16,21,23,28,36,24,28,30,34,40,42,50,50,57,65,12,15,19,22,29
13,2012-2013,,,,,,,,,,,,,,,,,,,,
14,Naturales o minimamente procesados,37,35,35,32,30,32,30,29,27,23,0,0,0,0,,6,6,7,7,7
15,Ingredientes culinarios,19,17,17,16,14,23,19,20,18,17,52,45,40,36,28,54,48,51,46,40
16,Procesados,24,24,22,22,20,17,19,20,20,19,2,2,3,3,4,25,25,22,22,20
17,Ultraprocesados,19,24,25,30,36,28,32,31,34,40,47,53,57,61,68,16,21,20,25,33
18,2017-2018,,,,,,,,,,,,,,,,,,,,
19,Naturales o minimamente procesados,38,37,35,33,30,31,30,28,26,22,,,,,0,6,7,7,8,6
20,Ingredientes culinarios,18,17,17,16,14,20,18,19,17,15,53,46,42,40,28,52,47,49,40,48
21,Procesados,24,22,21,20,19,19,19,19,19,19,1,2,3,3,4,25,25,22,23,17
22,Ultraprocesados,20,24,26,30,38,30,33,34,38,44,46,51,54,57,68,17,22,23,29,29
